language,structure,case,n,implementation,run,time_sec
cpp,hash_table,1. Insert sequential,5000000,unordered_flat_map,2,2.244139010
cpp,hash_table,1. Insert sequential,5000000,unordered_flat_map,3,2.200353655
cpp,hash_table,1. Insert sequential,5000000,unordered_flat_map,4,2.209062775
cpp,hash_table,1. Insert sequential,5000000,unordered_flat_map,5,2.222345745
cpp,hash_table,1. Insert sequential,10000000,HashTable,1,5.088811425
cpp,hash_table,1. Insert sequential,10000000,HashTable,2,5.398209366
cpp,hash_table,1. Insert sequential,10000000,HashTable,3,5.098063821
cpp,hash_table,1. Insert sequential,10000000,HashTable,4,5.120942725
cpp,hash_table,1. Insert sequential,10000000,HashTable,5,5.098105264
cpp,hash_table,1. Insert sequential,10000000,unordered_flat_map,1,4.884908564
cpp,hash_table,1. Insert sequential,10000000,unordered_flat_map,2,4.585397492
cpp,hash_table,1. Insert sequential,10000000,unordered_flat_map,3,4.791996625
cpp,hash_table,1. Insert sequential,10000000,unordered_flat_map,4,4.792126751
cpp,hash_table,1. Insert sequential,10000000,unordered_flat_map,5,4.716607665
cpp,hash_table,1. Insert sequential,15000000,HashTable,1,8.975611149
cpp,hash_table,1. Insert sequential,15000000,HashTable,2,9.001982366
cpp,hash_table,1. Insert sequential,15000000,HashTable,3,9.009106098
cpp,hash_table,1. Insert sequential,15000000,HashTable,4,9.063548445
cpp,hash_table,1. Insert sequential,15000000,HashTable,5,9.000999644
cpp,hash_table,1. Insert sequential,15000000,unordered_flat_map,1,8.333940960
cpp,hash_table,1. Insert sequential,15000000,unordered_flat_map,2,8.295070873
cpp,hash_table,1. Insert sequential,15000000,unordered_flat_map,3,8.284129590
cpp,hash_table,1. Insert sequential,15000000,unordered_flat_map,4,8.246216116
cpp,hash_table,1. Insert sequential,15000000,unordered_flat_map,5,8.289296965
cpp,hash_table,2. Insert random,10000,HashTable,1,0.034010012
cpp,hash_table,2. Insert random,10000,HashTable,2,0.008783624
cpp,hash_table,2. Insert random,10000,HashTable,3,0.008210444
cpp,hash_table,2. Insert random,10000,HashTable,4,0.007796124
cpp,hash_table,2. Insert random,10000,HashTable,5,0.007984711
cpp,hash_table,2. Insert random,10000,unordered_flat_map,1,0.003801674
cpp,hash_table,2. Insert random,10000,unordered_flat_map,2,0.003912124
cpp,hash_table,2. Insert random,10000,unordered_flat_map,3,0.003696601
cpp,hash_table,2. Insert random,10000,unordered_flat_map,4,0.003806688
cpp,hash_table,2. Insert random,10000,unordered_flat_map,5,0.003805006
cpp,hash_table,2. Insert random,50000,HashTable,1,0.058327379
cpp,hash_table,2. Insert random,50000,HashTable,2,0.035016502
cpp,hash_table,2. Insert random,50000,HashTable,3,0.035131549
cpp,hash_table,2. Insert random,50000,HashTable,4,0.035432703
cpp,hash_table,2. Insert random,50000,HashTable,5,0.034915536
cpp,hash_table,2. Insert random,50000,unordered_flat_map,1,0.017386010
cpp,hash_table,2. Insert random,50000,unordered_flat_map,2,0.017148118
cpp,hash_table,2. Insert random,50000,unordered_flat_map,3,0.017287088
cpp,hash_table,2. Insert random,50000,unordered_flat_map,4,0.017264924
cpp,hash_table,2. Insert random,50000,unordered_flat_map,5,0.017163204
cpp,hash_table,2. Insert random,100000,HashTable,1,0.074989954
cpp,hash_table,2. Insert random,100000,HashTable,2,0.073373408
cpp,hash_table,2. Insert random,100000,HashTable,3,0.079235911
cpp,hash_table,2. Insert random,100000,HashTable,4,0.076873190
cpp,hash_table,2. Insert random,100000,HashTable,5,0.073850115
cpp,hash_table,2. Insert random,100000,unordered_flat_map,1,0.035634043
